classe,path,ext,kb,mtime,sha,legib,det
I · Infra/Agente,ElysianConsult/docs/Atuais/Prompt_Deep_Research_Modelos_Comerciais.md,md,3.6,2026-08-11,0eb6e9c83ab0,OK,3521 chars
O · Organização,AuroraControler/README.md,md,3.5,2026-07-02,4c7831d2d512,OK,3318 chars
O · Organização,AuroraControler/docs/Documentos Gerais/BACKLOG.md,md,1.5,2026-05-04,0764402cebfa,OK,1538 chars
O · Organização,AuroraControler/docs/Documentos Gerais/ESTADO_ATUAL_EXRS.md,md,2.0,2026-07-15,d8e7d417c309,OK,1959 chars
O · Organização,AuroraControler/docs/Documentos Gerais/ORGANIZACAO-DO-TRABALHO-20260802.md,md,10.7,2026-08-02,052518056ecb,OK,10540 chars
O · Organização,AuroraControler/docs/Documentos Gerais/indice_fontes.md,md,13.5,2026-08-02,40f4befade51,OK,13420 chars
O · Organização,AuroraControler/laudo_executivo/README.md,md,3.0,2026-07-20,ebd587e38e45,OK,2955 chars
O · Organização,ElysianConsult/AGENTS.md,md,1.2,2026-08-11,cff52f5f36b2,OK,1179 chars
O · Organização,ElysianConsult/README.md,md,0.4,2026-08-11,2912788b345f,OK,363 chars
O · Organização,ElysianConsult/docs/Atuais/metodologia_consolidada.md,md,15.3,2026-08-11,84115cf8005f,OK,15145 chars
P · Pesquisa externa,AuroraControler/docs/Documentos Gerais/Go Live Elysian Consult.md,md,6.9,2026-08-02,19c517b40031,OK,6870 chars
P · Pesquisa externa,ElysianConsult/docs/Atuais/Estratégia GTM para PMEs Brasileiras.md,md,62.6,2026-08-11,8b152318ebf3,OK,62879 chars
P · Pesquisa externa,ElysianConsult/docs/Atuais/Metodologias de Vendas Pós-IA.md,md,95.0,2026-08-11,10370a20c3e0,OK,94711 chars
S · Spec técnica,AuroraControler/CATALOGO_METODOS_VENDAS_v0.1.md,md,70.3,2026-07-25,a1076e08565c,OK,69114 chars
S · Spec técnica,AuroraControler/SPEC_Fase_B_Formulas_Avancadas.md,md,3.9,2026-07-20,41be405d3682,OK,3967 chars
S · Spec técnica,AuroraControler/SPEC_Fase_C_Fila_Auditoria_Manual.md,md,14.9,2026-07-20,0668b91af607,OK,14785 chars
S · Spec técnica,AuroraControler/SPEC_Fase_D2_Anexo_Vivo_e_Zero_Contradicao.md,md,15.1,2026-07-21,b57a648be99a,OK,14987 chars
S · Spec técnica,AuroraControler/SPEC_Fase_E_Fisica_da_Equipe.md,md,17.3,2026-07-20,2d5f16ab6007,OK,17133 chars
S · Spec técnica,AuroraControler/SPEC_Fase_E_Parte1_Execucao.md,md,30.2,2026-07-30,efb67eba91b6,OK,30061 chars
S · Spec técnica,AuroraControler/alvaro_corpus_correcoes_v0.1.md,md,10.9,2026-07-25,7bc716b07fc1,OK,10700 chars
S · Spec técnica,AuroraControler/docs/Vault/ARCHITECTURE.md,md,6.5,2026-07-15,130d62fe8db7,OK,6334 chars
S · Spec técnica,AuroraControler/docs/Vault/AUDITORIA-SKILL-AGENTE-SANDEEP-V8-20260803.md,md,14.7,2026-08-03,ca6d8f245df0,OK,14427 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Blueprint_Arquitetura.md,md,10.7,2026-07-15,6138aed14cbb,OK,9855 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Casos_Divergencia_OS-B.md,md,10.0,2026-07-25,83f55dfaf3d0,OK,9865 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Fixture_Teste_Otica_Spec.md,md,5.3,2026-07-09,4f743bfd44d3,OK,5312 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Prototipo_Ato2_Paradoxo_L7.html,html,7.3,2026-07-19,fb94fbdc36fd,OK,7395 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Prototipo_Sumario_Executivo_v4.html,html,6.7,2026-07-19,2aa573193eba,OK,6740 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Spec_Convergencia_Kernel_ProdutoB.md,md,5.6,2026-07-15,58e7d4b8cf2c,OK,5558 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Spec_Correcao_Loop.md,md,7.8,2026-07-14,73636e494e2c,OK,7703 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Spec_Interface_Laudo.md,md,6.4,2026-07-16,3516bf38d699,OK,6328 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Spec_Laudo_Executivo_v4.md,md,12.2,2026-07-19,36df89beae16,OK,12081 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Spec_b_Motor_Honesto.md,md,4.5,2026-07-09,412aec816e05,OK,4494 chars
S · Spec técnica,AuroraControler/docs/Vault/EXRS_Template_Laudo_Executivo_v4.html,html,22.3,2026-07-19,27f77aab778f,OK,22524 chars
S · Spec técnica,AuroraControler/docs/Vault/OS-EXRS-CRYPTO-SEAL-20260627.md,md,14.0,2026-07-02,35a7bc4d3ce9,OK,13748 chars
S · Spec técnica,AuroraControler/docs/Vault/OS-EXRS-SAAS-20260625.md,md,8.3,2026-07-02,4e1184eae008,OK,8116 chars
S · Spec técnica,AuroraControler/docs/Vault/OS-EXRS-SAAS-EVIDENCE.md,md,12.2,2026-07-02,0b8fe4bd1491,OK,11823 chars
S · Spec técnica,AuroraControler/docs/Vault/REVISAO-PLANO-CORRECAO-V8-20260803.md,md,10.3,2026-08-03,f81287e6503e,OK,10208 chars
S · Spec técnica,AuroraControler/docs/Vault/audit_data_v3.json,json,5.3,2026-07-19,7a29ed174a0f,OK,5294 chars
S · Spec técnica,AuroraControler/docs/Vault/build_laudo.py,py,7.9,2026-07-19,3a10ff48407b,OK,7952 chars
S · Spec técnica,AuroraControler/docs/Vault/os/exrs-v2-goal-loop/SPEC.md,md,9.8,2026-07-14,590763111a3b,OK,9659 chars
S · Spec técnica,AuroraControler/docs/Vault/os/fix-motor-honesto/CRITERIA.md,md,4.4,2026-07-09,daeddaa3a546,OK,4398 chars
S · Spec técnica,AuroraControler/docs/Vault/os/fix-motor-honesto/PLAN.md,md,5.5,2026-07-09,1e4ef7a0160a,OK,5468 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-05-15-phase-b1-intent-capture.md,md,32.6,2026-05-15,b536233957b0,OK,32595 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-05-15-phase-b2-visual-assembly.md,md,33.1,2026-05-15,f1fa5ed9eb94,OK,33253 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-05-15-phase-b3-simulation-hitl.md,md,30.0,2026-07-02,daba846ae7b4,OK,29746 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-05-15-tech-debt-items-4-10.md,md,17.4,2026-05-15,6bd2a5dbc65b,OK,17542 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-05-16-phase-c-dashboard-generator.md,md,111.5,2026-05-16,f0d3cbd02eb5,OK,113710 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-07-01-exrs-cli-local-mvp.md,md,38.6,2026-07-02,07f1dddd8985,OK,38204 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-07-02-exrs-diagnose-dag.md,md,28.0,2026-07-02,1a2d1fff54dd,OK,28431 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-07-17-executive-summary-backend.md,md,35.8,2026-07-19,360ab7f2e5d2,OK,35551 chars
S · Spec técnica,AuroraControler/docs/superpowers/plans/2026-07-19-insight-board-sections.md,md,51.9,2026-07-19,91b53ba69f59,OK,51449 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-05-16-phase-c-dashboard-generator-design.md,md,18.8,2026-05-16,e7e982443cbe,OK,18853 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-07-01-exrs-cli-local-mvp-design.md,md,6.1,2026-07-02,944e98b5f00d,OK,5956 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-07-02-exrs-diagnose-dag-design.md,md,8.5,2026-07-02,54c583eba581,OK,8502 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-07-06-exrs-audit-data-oracle-design.md,md,13.2,2026-07-06,3e0c9efc9d51,OK,13101 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-07-06-exrs-audit-motor-honesto-design.md,md,7.8,2026-07-09,8999c45c582d,OK,7682 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-07-06-exrs-audit-narrative-synthesizer-design.md,md,6.6,2026-07-06,2dd1fcf95520,OK,6610 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-07-06-otica-fixture-e-achados.md,md,5.0,2026-07-09,0acfa554a2e2,OK,4954 chars
S · Spec técnica,AuroraControler/docs/superpowers/specs/2026-07-17-laudo-executive-summary-e-frontend-drilldown-design.md,md,14.9,2026-07-17,37dcfc1428cc,OK,14767 chars
S · Spec técnica,AuroraControler/laudo_executivo/EXRS_Spec_Laudo_Executivo_v4.md,md,26.1,2026-07-21,7c543281c10f,OK,25594 chars
S · Spec técnica,AuroraControler/laudo_executivo/EXRS_Template_Laudo_Executivo_v4.html,html,38.6,2026-07-21,6c01774dc637,OK,38318 chars
S · Spec técnica,AuroraControler/laudo_executivo/build_laudo.py,py,34.8,2026-08-10,8b3ab3efc8af,OK,34518 chars
S · Spec técnica,AuroraControler/laudo_executivo/enrich_audit_data.py,py,4.1,2026-07-20,02999fa0efda,OK,4022 chars
S · Spec técnica,AuroraControler/mapping.json,json,0.1,2026-07-30,fae04e1b0787,OK,83 chars
S · Spec técnica,AuroraControler/product-manifest.json,json,0.4,2026-05-04,c9b8481fd9bc,OK,409 chars
S · Spec técnica,ElysianConsult/docs/SPEC/SPEC_Sistema_Gestao_360_v1.md,md,31.7,2026-08-12,ed3fe87866bb,OK,30423 chars
S · Spec técnica,ElysianConsult/docs/SPEC/prototipo_chronos_v1.html,html,38.6,2026-08-12,ef89c5ed1609,OK,38858 chars
T · Dado/Fixture,ElysianConsult/docs/Atuais/Consultoria.xlsx,xlsx,311.7,2026-07-14,7a696936dfdb,OK,Vendas(3046x12); Clientes(508x7); Vendedores(35x3); Estoque(1189x8); Compras(1012x6); Financeiro(268x7); Gabarito(37x3)
T · Dado/Fixture,ElysianConsult/docs/Atuais/Rede_PetShop.xlsx,xlsx,241.8,2026-07-16,5f3e5c34f278,OK,Vendas(3543x12); Clientes(323x7); Vendedores(22x3); Estoque(226x8); Compras(1x6); Financeiro(181x7)
T · Dado/Fixture,ElysianConsult/docs/Historico/Consultoria_v1_baseline.xlsx,xlsx,190.6,2026-07-13,d89edbcaa225,OK,Vendas(1500x12); Clientes(241x7); Vendedores(13x3); Estoque(928x8); Compras(1012x6); Financeiro(112x7); Gabarito(12x3)
T · Dado/Fixture,ElysianConsult/docs/Historico/Consultoria_v2_baseline.xlsx,xlsx,283.1,2026-07-14,e78b7ed0e636,OK,Vendas(2625x12); Clientes(418x7); Vendedores(35x3); Estoque(1189x8); Compras(1012x6); Financeiro(268x7); Gabarito(29x3)
T · Dado/Fixture,ElysianConsult/docs/Historico/Consultoria_v3_pre_cleanup.xlsx,xlsx,303.6,2026-07-14,6f5638d82bd3,OK,Vendas(2896x12); Clientes(508x7); Vendedores(35x3); Estoque(1189x8); Compras(1012x6); Financeiro(268x7); Gabarito(36x3)
T · Dado/Fixture,ElysianConsult/docs/Historico/Rede_Oticas_Beta.xlsx,xlsx,106.4,2026-07-20,92d2c791201e,OK,Vendas(1427x12); Compras(55x5); Estoque(15x6); Clientes(261x6); Gabarito(8x3)
X · Intel competitiva,ElysianConsult/docs/Atuais/360_Oticas_Apresentacao.pdf,pdf,16815.3,2026-08-11,2bb6e0282ab7,OK,34 pág · 3690 chars
X · Intel competitiva,ElysianConsult/docs/Atuais/Método Aurora_ Estratégia e Fosso Competitivo.pdf,pdf,4808.3,2026-08-13,7e191c4a7508,ILEGIVEL,"13 pág · 79 chars extraíveis → escaneado, exige OCR visual"
X · Intel competitiva,ElysianConsult/docs/Historico/Metodo_Aurora_Transcricao_OCR.md,md,5.8,2026-08-10,ecd9cb689422,OK,5739 chars
